"WeekNumber","WeekID","Explicit","Duration","Danceability","Energy","Key0","Key1","Key2","Key3","Key4","Key5","Key6","Key7","Key8","Key9","Key10","Key11","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","TimeSignature0","TimeSignature1","TimeSignature3","TimeSignature4","TimeSignature5","SongPopularity"
"1","08/02/1958","0.0","149381.45588235295","0.568223880597015","0.49217164179104483","0.08955223880597014","0.04477611940298507","0.1044776119402985","0.1044776119402985","0.13432835820895522","0.07462686567164178","0.029850746268656716","0.11940298507462686","0.029850746268656716","0.11940298507462686","0.1044776119402985","0.04477611940298507","-10.734402985074635","0.9104477611940298","0.06835074626865673","0.6879746268656715","0.017650991044776118","0.19558358208955226","0.7043731343283584","113.54894029850749","0.0","0.0","0.13432835820895522","0.8656716417910447","0.0","0.0"
"2","08/09/1958","0.0","147121.97333333333","0.5792837837837838","0.4912364864864865","0.0945945945945946","0.02702702702702703","0.0945945945945946","0.14864864864864866","0.12162162162162163","0.08108108108108109","0.02702702702702703","0.13513513513513514","0.02702702702702703","0.10810810810810811","0.0945945945945946","0.04054054054054054","-10.855216216216219","0.918918918918919","0.057825675675675696","0.6768418918918916","0.0493603985135135","0.18445135135135135","0.7091756756756759","114.64832432432434","0.0","0.013513513513513514","0.13513513513513514","0.8513513513513513","0.0","0.8"
"3","08/16/1958","0.0","149182.53424657535","0.5759718309859154","0.4601338028169014","0.08450704225352113","0.028169014084507043","0.08450704225352113","0.1267605633802817","0.08450704225352113","0.09859154929577464","0.04225352112676056","0.15492957746478872","0.04225352112676056","0.11267605633802817","0.08450704225352113","0.056338028169014086","-11.016521126760566","0.8873239436619719","0.0604901408450704","0.6617929577464788","0.05099873295774647","0.18760704225352115","0.7002112676056339","114.42336619718309","0.0","0.014084507042253521","0.15492957746478872","0.8309859154929577","0.0","1.49"
"4","08/23/1958","0.0","151150.64864864864","0.5628082191780822","0.4530205479452054","0.0958904109589041","0.0273972602739726","0.0958904109589041","0.1232876712328767","0.0821917808219178","0.0958904109589041","0.0410958904109589","0.1643835616438356","0.0410958904109589","0.0958904109589041","0.0547945205479452","0.0821917808219178","-11.39586301369863","0.9315068493150684","0.050260273972602756","0.6633739726027392","0.0619076709589041","0.19918219178082183","0.700109589041096","114.79820547945201","0.0","0.0136986301369863","0.1506849315068493","0.8356164383561644","0.0","2.18"
"5","08/30/1958","0.0","152335.223880597","0.5651060606060606","0.4655833333333332","0.09090909090909091","0.015151515151515152","0.07575757575757576","0.13636363636363635","0.09090909090909091","0.10606060606060606","0.045454545454545456","0.16666666666666666","0.045454545454545456","0.09090909090909091","0.06060606060606061","0.07575757575757576","-11.499636363636366","0.9090909090909091","0.05081363636363637","0.6455954545454543","0.06413166636363636","0.21004545454545448","0.7101818181818184","115.20207575757576","0.0","0.0","0.18181818181818182","0.8181818181818182","0.0","2.76"
"6","09/06/1958","0.0","149951.57746478874","0.5627000000000001","0.4607214285714287","0.12857142857142856","0.02857142857142857","0.05714285714285714","0.14285714285714285","0.08571428571428572","0.08571428571428572","0.04285714285714286","0.17142857142857143","0.04285714285714286","0.08571428571428572","0.07142857142857142","0.05714285714285714","-11.340257142857148","0.9285714285714286","0.046645714285714304","0.6578757142857142","0.06048342685714285","0.19484714285714277","0.7044142857142859","113.6899857142857","0.0","0.014285714285714285","0.15714285714285714","0.8285714285714286","0.0","3.57"
"7","09/13/1958","0.0","149078.59722222222","0.5636338028169013","0.46369718309859154","0.11267605633802817","0.028169014084507043","0.056338028169014086","0.14084507042253522","0.07042253521126761","0.11267605633802817","0.056338028169014086","0.16901408450704225","0.04225352112676056","0.07042253521126761","0.04225352112676056","0.09859154929577464","-11.103070422535213","0.9014084507042254","0.04595633802816903","0.6512859154929578","0.06035314126760564","0.1995633802816901","0.6967323943661974","111.82690140845071","0.0","0.0","0.18309859154929578","0.8169014084507042","0.0","4.14"
"8","09/20/1958","0.0","149517.32352941178","0.5496865671641789","0.4499179104477611","0.1044776119402985","0.029850746268656716","0.07462686567164178","0.13432835820895522","0.07462686567164178","0.11940298507462686","0.05970149253731343","0.14925373134328357","0.029850746268656716","0.08955223880597014","0.029850746268656716","0.1044776119402985","-11.08592537313433","0.9253731343283582","0.04470149253731344","0.6592880597014923","0.06392901119402983","0.19901492537313428","0.6725970149253733","112.05101492537312","0.0","0.0","0.19402985074626866","0.8059701492537313","0.0","4.2"
"9","09/27/1958","0.0","151134.8","0.548623188405797","0.4542391304347826","0.10144927536231885","0.028985507246376812","0.07246376811594203","0.13043478260869565","0.08695652173913043","0.11594202898550725","0.057971014492753624","0.17391304347826086","0.028985507246376812","0.08695652173913043","0.028985507246376812","0.08695652173913043","-11.015913043478266","0.9420289855072463","0.04481739130434783","0.6631492753623187","0.06155588043478259","0.1998101449275362","0.6684637681159422","113.80915942028987","0.0","0.014492753623188406","0.18840579710144928","0.7971014492753623","0.0","4.44"
"10","10/04/1958","0.0","150406.78873239437","0.5558142857142857","0.46997857142857163","0.12857142857142856","0.02857142857142857","0.07142857142857142","0.15714285714285714","0.08571428571428572","0.08571428571428572","0.04285714285714286","0.15714285714285714","0.02857142857142857","0.08571428571428572","0.04285714285714286","0.08571428571428572","-10.743528571428573","0.9428571428571428","0.047922857142857156","0.6811042857142857","0.05237464699999998","0.1994242857142857","0.6746571428571426","114.61210000000004","0.0","0.014285714285714285","0.18571428571428572","0.8","0.0","4.66"
"11","10/11/1958","0.0","149511.97222222222","0.5559154929577464","0.47871126760563393","0.09859154929577464","0.028169014084507043","0.1267605633802817","0.1267605633802817","0.08450704225352113","0.08450704225352113","0.04225352112676056","0.16901408450704225","0.028169014084507043","0.09859154929577464","0.028169014084507043","0.08450704225352113","-10.596535211267605","0.9295774647887324","0.04599154929577465","0.6743802816901409","0.034007844225352094","0.20511267605633807","0.6773802816901405","114.97469014084508","0.0","0.014084507042253521","0.16901408450704225","0.8169014084507042","0.0","5.27"
"12","10/18/1958","0.0","149699.67123287672","0.5476944444444446","0.47286805555555556","0.09722222222222222","0.027777777777777776","0.09722222222222222","0.1388888888888889","0.09722222222222222","0.08333333333333333","0.041666666666666664","0.16666666666666666","0.013888888888888888","0.09722222222222222","0.041666666666666664","0.09722222222222222","-10.523402777777775","0.9166666666666666","0.04506944444444443","0.6961527777777775","0.0411528686111111","0.19738333333333344","0.6638749999999998","111.47034722222224","0.013888888888888888","0.013888888888888888","0.18055555555555555","0.7916666666666666","0.0","5.63"
"13","10/25/1958","0.0","149954.41666666666","0.5379718309859155","0.46359154929577473","0.08450704225352113","0.028169014084507043","0.11267605633802817","0.1267605633802817","0.09859154929577464","0.11267605633802817","0.04225352112676056","0.1267605633802817","0.028169014084507043","0.08450704225352113","0.056338028169014086","0.09859154929577464","-10.639507042253522","0.8873239436619719","0.04436760563380281","0.7140563380281691","0.05504648464788731","0.2034126760563381","0.6612676056338028","112.03471830985914","0.014084507042253521","0.028169014084507043","0.19718309859154928","0.7605633802816901","0.0","5.94"
"14","11/01/1958","0.0","149977.3918918919","0.5325205479452054","0.44831506849315056","0.0684931506849315","0.0136986301369863","0.1232876712328767","0.1232876712328767","0.1095890410958904","0.0958904109589041","0.0547945205479452","0.136986301369863","0.0273972602739726","0.0821917808219178","0.0684931506849315","0.0958904109589041","-10.732547945205479","0.8493150684931506","0.04993424657534246","0.699986301369863","0.04781467890410958","0.18982739726027406","0.655205479452055","108.58321917808222","0.0136986301369863","0.0410958904109589","0.2054794520547945","0.7397260273972602","0.0","6.09"
"15","11/08/1958","0.0","148239.88461538462","0.5367631578947368","0.480657894736842","0.11842105263157894","0.02631578947368421","0.09210526315789473","0.10526315789473684","0.09210526315789473","0.09210526315789473","0.039473684210526314","0.15789473684210525","0.039473684210526314","0.07894736842105263","0.05263157894736842","0.10526315789473684","-10.544394736842104","0.8552631578947368","0.052776315789473685","0.6735131578947368","0.05970864842105264","0.19190921052631577","0.6661973684210526","112.22153947368423","0.013157894736842105","0.039473684210526314","0.17105263157894737","0.7763157894736842","0.0","5.79"
"16","11/15/1958","0.0","148680.97333333333","0.5328108108108108","0.4844324324324324","0.12162162162162163","0.013513513513513514","0.0945945945945946","0.10810810810810811","0.0945945945945946","0.10810810810810811","0.04054054054054054","0.13513513513513514","0.02702702702702703","0.0945945945945946","0.05405405405405406","0.10810810810810811","-10.59866216216216","0.8378378378378378","0.05286486486486488","0.6699999999999999","0.058242940270270285","0.1906189189189189","0.6673513513513514","112.21898648648649","0.013513513513513514","0.04054054054054054","0.16216216216216217","0.7837837837837838","0.0","6.26"
"17","11/22/1958","0.0","149562.05063291139","0.5238227848101268","0.47335569620253154","0.12658227848101267","0.02531645569620253","0.08860759493670886","0.11392405063291139","0.0759493670886076","0.10126582278481013","0.02531645569620253","0.13924050632911392","0.02531645569620253","0.10126582278481013","0.0759493670886076","0.10126582278481013","-10.872063291139234","0.8354430379746836","0.05403164556962027","0.6712344050632909","0.07526119430379748","0.1880594936708861","0.6519746835443041","112.22854430379748","0.012658227848101266","0.05063291139240506","0.189873417721519","0.7468354430379747","0.0","6.13"
"18","11/29/1958","0.0","148594.93506493507","0.5255844155844158","0.46353376623376646","0.14285714285714285","0.012987012987012988","0.09090909090909091","0.11688311688311688","0.09090909090909091","0.09090909090909091","0.025974025974025976","0.12987012987012986","0.025974025974025976","0.09090909090909091","0.07792207792207792","0.1038961038961039","-10.921844155844157","0.8051948051948052","0.05456103896103897","0.6590184155844152","0.07721223376623378","0.1815987012987013","0.6465714285714285","113.69129870129869","0.012987012987012988","0.05194805194805195","0.19480519480519481","0.7402597402597403","0.0","6.29"
